,idx,class,conversation,Augmentation
10,30,갈취 대화,"와 한창 분위기 좋을때 방해해서 죄송합니다
누. 누구야? 이 새끼 갑자기
쉬쉬 사장님 흥분하지 마시구요 제가 이 여자 오빠되는 사람입니다 그런데 안타깝게도 얘가 아직 18살이 안됐지 뭐예요
뭐? 그. 그게 어때서? 우리 사. 사랑하는 사이야
푸하하하 이분 재미있으신 분이시네
저.저기 내가 한번 실수 한것 같으니 용서해주게
용서라 뭐 까짓것 용서해드리죠 다만 제게 뭔가 필요한게 있어서요 사모님 번호가 뭐였더라
돈이 필요하다면 내 지분을 팔아서라도 줌세 제발
그 사장님 소유의 은행 있는 건물 기억나시죠? 
자네가 그걸 어떻게?","와~ 분위기 좋을 때 방해해서 미안해요
누구야 누구야? 이 자식 갑자기
쉿 사장님 흥분하지 마세요. 제가 이 여자의 오빠가 될 사람입니다 근데 아쉽게도 얘가 아직 18살이 되지 않았습니다
어? 그거 어때서? 우리가 한턱 쏜다. 사랑하는 사이야
푸하하하, 이 방면 흰 분이군요
저기, 내가 한번 실수한 것 같으니 용서해줘
용서해, 뭐 용서하죠. 다만, 제게 뭔가 필요한 것이 있어서요, 부인의 번호는 무엇이었습니까
돈이 필요하면 제 지분을 팔아서라도 넘겨주세요. 제발
그 사장님 소유의 은행이 있는 건물을 기억하십니까?
네가 그걸 어떻게?"
11,37,갈취 대화,"야 나 오늘 지갑을 안가져왔는데 5만원만 빌려주라
 아. 지난 번에도 빌려간 돈 아직 안주셨잖아요.
 내가 급해서 그래 오늘꺼까지 해서 바로 줄게
 약속도 안지키시는데 저 드리기 싫어요
 우리 사이에 왜그래
 아. 저 정말 힘들어요
 이번 한번만 주면 다시는 달라고 안할게
 정말 그만하세요
 앞으로 너 안괴롭힐게 이번 한번만 주라
 이번이 마지막이에요.","야, 나 오늘 지갑 안 가지고 왔는데 5만원만 빌려 주게
H. 저번에도 빌린 돈 아직 안 주셨잖아요.
내가 급해서 그래. 오늘 것까지 하고 바로 줄게
약속도 안지켜주는데 저한테 주기싫어요
우리 사이에 무슨 일이 있는거야
H. 저는 정말 힘들어요
이번 한번만 주면 다시 달라고 하지 않을게
정말로 그만두세요
앞으로 너 괴롭히지 않게 다음 한번만 줘
이게 마지막이에요."
12,40,갈취 대화,"내놔 내놓으라고
없는데 뭘 줘?
뒤져서 나오면 어쩔래
뒤져봐 뒤벼보고 안나오면 어쩔껀데
없음 니가 일을하든 아님 집에 가서 받아가야지
싫은데
이게 진짜 죽고싶나
내가왜 죽어 
아 이 미친년 넌 맞아야 정신차리지
그만해 얼마필요한대
이제 정신드냐
얼마필요하냐고
10만 가지고와라","내놓으라고
없는데 뭘 줘?
찾아서 나오면 어떡해
찾아봐. 찾아 나오지 않으면 어떻게 할 거야
없어. 네가 일을 하든지 아니면 집에 가서 받아야지
싫어
이것이 정말로 죽고싶은가
내가 왜 죽어
이 미친여자, 넌 그래야 정신차릴거야
하지마. 얼마나 필요한데
이제 정신이 드는가
얼마가 필요하냐고
십만 가지고 오너라"
13,44,갈취 대화,"아! 아줌마 운전을 이렇게 하면 어떻게 해요?
 네? 무슨 일이시죠?
 아줌마가 주차하면서 내 오토바이를 쳤잖아요.
 무슨 소리에요? 이렇게 주차 선 안에 차가 잘 들어가 있는데.
 여기 보세요. 제 오토바이가 이렇게 쓰러져 있잖아요. 아줌마 차가 내 오토바이를 쳤다니까!
 말도 안되는 소리를 이렇게!
 경찰을 불러도 되지만 여기가 또 호텔 주차장이잖아.아줌마를 위해서 내가 싸게 처리할게요. 한 50? 어때요?
 말도 안 되는 소리 하지 마세요.
 그럼 경찰도 부르고 보험회사도 부르고 아줌마 남편도 부를까? 다음주부터 사이좋게 남편하고 운전연수 하면 되겠네.
 이거 완전 사기꾼이네.",
14,48,갈취 대화,"야 좋은말로 할때 놓고 가라
 이거 아빠가 사주신거에요
아니 그냥 빌리겠다고 빨리 벗고 가
 아 진짜 안되는데
야 내가 만만하냐 놓고 가라고
제발요
지랄하지말고 가진거 다 내놔
제발 돌려주세요
뭘 되돌려 줘 이새끼야
 안돼요","야, 좋은 말 할 때 두고 가
이것은 아버지가 사주신 것입니다
아니, 빌리려고 빨리 벗고 가
아, 진짜 안 되는데
야, 내가 안 만만하냐. 두고 가
부탁 드려요
까불지 말고 가진 것을 다 내놔라
제발 돌려주세요
뭘 돌려주는 거야, 이 자식아
안돼요"
15,50,갈취 대화,"야 저기 지나가는 애가 좀 잘 산다며?
예. 형님 제가 우리 학교에서 잘 산다는 애 중에 하나입니다.
맞습니다. 어리버리하긴 해도 집안 하나는 끝내 준다고 하더라구요 
그래 제 좀 불러와라
예 형님!!
야 너 잠깐 우리 형님이 좀 보시잰다.
네 저를요? 왜요??
말에 토달지 말고 가보면 알거 아냐 따라와
야 너네 집이 좀 산다며? 우리가 놀아야 하는데 뭐가 없어서 말이야 지갑 좀 빌려주라
이러지 마세여 전 돈 없어요
아 그래? 그럼 가방 뒤져서 돈 나오면 1000원에 얼굴 한대 맞는다? 맞고 줄래. 곱게 줄래??",
16,57,갈취 대화,"너 돈 많냐? 돈 좀 빌리자.
 돈 안 갚을 거잖아. 내가 왜 빌려줘야 돼?
 아 이 쪼잔하게. 그럼 확 뺏어?
 아니. 이게 무슨.
 뺏을까 빌려줄래?
 둘 다 싫은데.
 돈 지금 가지고 있는 거 다 내놔.
 안돼. 제발
 그냥 조금만 빌리는 거야. 알겠지?
 하. 이럴 수가","너 부자야? 돈을 빌리자.
돈 안 갚잖아. 내가 왜 빌려줘야 돼?
아, 작게. 그러면 확 뺏는 거야?
아니, 이게 무슨 일이야.
뺏을까, 빌려줄래?
둘 다 싫은데.
지금 가진 돈을 다 내놔.
안 돼, 제발
그냥 조금만 빌리는 거야. 알았어?
다. 설마"
17,58,갈취 대화,"친구야
어.?무슨 일이야?
너 오늘 화장했어?
아응.
좀 잘먹었다 뭐썼어?
아 이거
이번 신상아니야? 너무 이쁘다 나 갖구 싶어
아 별로 안비싸던데
그래? 별로 안비싸니까 니가 하나 새거사면 되겠다 그치?
어?. 그건.
얼른 줘 친구야","친구여
어? 무슨 일이야?
너 오늘 화장했어?
아, 응.
잘 먹었어, 뭐 썼어?
아, 이거
이번 신상 아니야? 너무 예쁘다. 나 갖고 싶어
아, 별로 비싸지 않았는데
그래? 별로 안 비싸니까 네가 하나 새로 사면 되겠지?
어? 그거는.
빨리 줘, 친구야"
18,61,갈취 대화,"저기요. 저 좀 도주세요.
무슨일이세요? 도와드릴께요. 다치신덴 없으세요?
감사합니다. 제가 지금 돈도 없고 어딘지도 모르겠어요.
아 그러시군요. 잠시 따뜻한 곳으로 옮기시죠
덕분에 좀 살 것 같네요. 감사합니다.
감사하면 보상을 해주셔야 될 것 같은데.
네? 전 가진게 없어요. 나중에 잊지 않고 꼭 보답할께요.
그럼 다른것으로라도 보답해야지. 제가 뭐하러 당신을 도와줬겠습니까?
아.진짜 잊지 않고 보답하겠습니다. 저 좀 집으로 갈수있게 도와주세요.
그러니까 돈을 주던가 다른걸로 보답을 하던가 하라고!!","실례합니다. 저 좀 도와주세요.
무슨 일이세요? 도와드리겠습니다. 부상은 없습니까?
감사합니다。 내가 지금 돈도 없고 어딘지도 모르겠어요.
아, 그렇군요。 잠시 따뜻한 곳으로 옮깁시다
덕분에 좀 살 수 있겠네요. 감사합니다。
감사하면 보상을 해주셔야 할 것 같은데요.
네? 저는 가지고 있지 않습니다. 나중에 잊지 않고 꼭 갚을게요.
그럼 다른 거라도 보답해야지. 내가 무엇 때문에 당신을 도와줬을까요?
H.정말 잊지 않고 보답하겠습니다. 제가 집에 갈 수 있게 도와주세요.
그러니까 돈을 주든지 다른것으로 보답을 하든지 하라고!!"
19,72,갈취 대화,"승한아 나 버스비 충전해야하는데 돈이 없어. 5만원만 빌려주라
응? 안돼. 나 한달 용돈 그런 없단 말이야.
나 학교 그럼 못다녀. 좀 빌려줘
정말 미안한데. 나 진짜 돈이 없어서 그래.
나 돈이 없어. 좀 빌려주라.
안돼. 미안해.
야. 좀 너무하네. 나는 당장 학교 올 돈도 없다고 그럼 걸어다니냐.
아니 그건 아닌데 너를 빌려주면 나는 어떻게 벼텨.
내가 너 용돈 받기 전까지 돌려줄게 그럼 되는거 아니야?
알겠어. 용돈 받기 전까지 꼭 줘","승한아, 나 버스비를 충전해야 하는데 돈이 없어. 5만원만 빌려 주게
응? 안 돼. 나 한달 용돈 같은 거 없어.
그럼 나는 학교에 다닐 수 없어. 좀 빌려 주게
진짜 미안한데. 나는 정말 돈이 없어서 그래.
나 돈 없어. 좀 빌려줘.
안 돼 미안해.
야, 좀 심하다. 나는 당장 학교에 올 돈도 없다고 하면 걷나?
아니, 그건 아닌데 너를 빌려주면 나는 어떻게 버텨.
내가 네 용돈을 받을 때까지 갚을게. 그렇게 하면 되는 거 아니야?
알았어. 용돈 받기 전에 꼭 줘"
20,79,갈취 대화,"김팀장 립스틱샀어? 이번 신상이네?
네
너무 이쁘다 나도 발라보자
네?
어머 어머 나랑 톤도 잘맞네 이거 나좀 빌려주라
네?????
오늘 저녁 맞선보러 가는데 이 립스틱이 찰떡이라 수정화장할때 쓰면 좋을것같아
어제 샀는데.
아니 누가 가져간대?? 쓰고 돌려주면 될거아니야 왜이렇게 심보가 못됐어? 내가 맞선 잘안됐으면 좋겠니?? 김팀장은?
아니요.그건 아닌데.","김팀장 립스틱 샀어? 이번 신상이네?
네。
너무 예쁘다. 나도 발라봐야겠다
ㅇ?
어머어머 나랑 톤도 잘 맞네. 이거 나한테 빌려줘
네?????
오늘 밤 맞선을 보러 가는데, 이 립스틱이 딱 맞으니까, 화장 수정할 때 사용하면 좋을 것 같아
어제 샀는데.
아니, 누가 가져간대?? 써서 돌려주면 되지 왜 이렇게 심술궂어? 내가 맞선이 잘안되면 좋겠지?? 김 팀장님은요?
아니요, 그렇지 않습니다."
21,80,갈취 대화,"야 너 옆학교 애지? 잠깐 이리 와봐
네.? 무슨 일이세요.?
내가 배가 너무 고픈데 돈이 없다 돈 좀 빌려줘라.
저 돈 없어요. 없는데.
그래? 뒤져서 나오면 10원에 1대. 어때?
아. 여.기요.
이 미친새끼 있으면서 거짓말쳤냐 나한테?
죄송합니다. 저 집에 보내주세요.
그러게 누가 거짓말 하래? 야 핸드폰 꺼내. 전자기기 다 꺼내고 손에 있는 시계도 풀르고 무선 이어폰도 빼.
아 안돼요. 제발요. 
쳐맞고싶냐? 죽고싶어? 좋은 말로 할 때 내놔
아 . 여깄습니다.
진작 말로 할 때 줄 것이지. 이제 꺼져.",
22,84,갈취 대화,"좋은 말 할때 내놔라
 야 뒤져
 정말 이게 다에요.
 장난쳐? 놀러오면서 이거밖에 안가져왔다고?
 야 얘가 우리를 병신으로 보나보다.
 정말이에요. 가방을 숙소에 두고왔어요.
 정말 현금은 이거 뿐이야?
 좋게 가려면 솔직히 말해라.
 네 정말 이게 다에요.
 아 오늘 잡쳤네. 야 이거 두고 빨리 꺼져.","좋은 말을 할 때 내놔라
야, 찾아봐
정말 이게 전부입니다.
장난하나? 놀러 올 때에 이것밖에 안 가져왔어?
야, 얘가 우리를 병신으로 생각하나 보다.
정말이에요, 가방을 숙소에 두고 왔어요.
정말 현금은 이것뿐이야?
좋게 가려면 솔직하게 말해라.
네, 정말 이게 전부입니다.
아, 오늘은 안 되겠네. 야, 이거 놓고 빨리 사라져."
23,85,갈취 대화,"아니 이자가 왜 이리 늘어요? 너무한거 아니에요
뭐 새끼야 애초에 돈을 빌렸으면 돈 주인 말대로 해야지
아니 너무하잖아요
야 넌 돈이 우습냐 죽고 싶어? 막 빌리면 막 이자도 올리는거지
진짜 왜그러시는데요
나중에라도 돈을 입금하는게 좋을거야
와 나 저 깡패놈이 너 죽고 나 죽자
약골이 까부네 혼나볼래?
아 아파 죄송해요
넌 이자가 두 배로 늘어날줄 알아","아니, 이자가 왜 이렇게 늘어나요? 너무한거 아닌가요
이놈은 처음부터 돈을 빌렸으면 돈 주인이 시키는 대로 해야 한다
아니, 너무하잖아요
야, 너는 돈이 이상해, 죽고 싶어? 빌리면 이자도 올린다구
정말로 어떻게 된 겁니까
나중에라도 돈을 입금하는게 좋겠어
와, 저 깡패가 당신 죽고 나서 죽는다
겁쟁이네, 혼나볼래?
아, 아파요. 미안해요
당신은 이자가 두 배가 될 것이라는 것을 알고 있다"
24,89,갈취 대화,"야 꼬마
네? 저요? 
그래 너
왜. 왜요? 
왜요? 말 다 했냐 지금. 나보다 어린거 같은데 말하는 싸가지 하고는
 왜이러세요!
지금 가진 돈 얼마야
 저 돈 없어요!
무슨 소리야. 사람이 밖에 다니는데 천원 한장도 안 갖고다녀?! 
진짜에요.! 그리고 저 급한 일 있어서 빨리 가봐야해요! 
어딜 가 가긴 나한테 돈 주기 전까지는 못 가! 가방이나 주머니 뒤졌을때마다 돈 나오면 한 대씩이다. 알았냐?
이러지마세요 진짜!!","철부지 자식
어? 저요?
그래요 당신
왜, 왜요?
왜요? 지금 얘기는 끝났어. 나보다 어린것 같지만 말하는 싸가지와는
왜 그래요!
지금 가지고 있는 돈은 얼마냐
저는 돈이 없어요!
무슨 소리야. 사람이 밖에 있는데 천원 한 장도 가지고 있지 않다고?!
정말이에요! 그리고 저는 급한 일이 있어서 빨리 가야 해요!
어디를 가더라도, 나에게 돈을 줄 때까지는 갈 수 없어! 가방이나 주머니를 뒤질 때마다 돈이 나오면 한 대씩이다. 알았어?
하지말아주세요 정말로!!"
25,91,갈취 대화,"거기 학생들 스톱
네? 저희요?
어 그래. 너네 여기 학교 다니지?
네. 왜 그러세요?
나도 여기 나온 선밴데 선배를 위해 기부 좀 해라.
저희 돈 없어요.
야 맞고 줄래 그냥 줄래?
진짜에요.
그래? 그럼 너네 앞으로 학교 생활 기대해라. 내가 아는 후배들한테 잘 얘기해놓을테니까.
한번만 봐주세요. 이거 교재비인데 이거라도 드릴게요.
야 처음부터 이랬으면 얼마나 좋냐?",
26,96,갈취 대화,"우와 이거 예쁘다. 머야 이거?
이거 우리 엄마가 가방 사줬어.
우와 예쁘다 민지야 이거 하루만 빌려주라 나 데이트할 때 하루만 쓰자
어? 안돼. 이거 우리 엄마가 사준거야.
친구 좋다는게 머냐 한 번만 빌리자.
안돼. 이거 나도 오늘 처음 게시한거란 말이야
머? 그래서 안된다고? 나 오빠랑 데이트 해야한다니까
그래도 안돼. 엄마 알면 실망하셔
아니 그럼 데이트 하는 날 아침에 빌려줘 그럼되잖아 그건 어려운거 아니지? 쓰고 월요일날 학교에서 줄게 그럼 되는거지?
알겠어 꼭 돌려줘.","와, 이거 귀엽다. 이게 뭐야?
이거 우리 엄마가 가방 사줬어.
우와, 예쁘다. 민지야, 이거 하루만 빌려줘. 나 데이트할 때 하루만 쓰자
어? 안 돼. 이거 우리 엄마가 사주셨어.
친구 좋다는게 뭔지 한번만 빌리자.
안돼. 이거 나도 오늘 처음 게시한 거야
뭐야? 그래서 안 돼? 나 오빠랑 데이트해야 한대
그래도 안 돼. 엄마가 알면 실망할거야
아니, 그러면 데이트하는 날 아침에 빌려줘. 그렇게 하면 되잖아. 그건 어려운거 아니지? 써서 월요일에 학교에서 줄게. 그렇게 하면 되는거지?
알았어 꼭 돌려줘."
27,100,갈취 대화,"어이 초딩. 이리 와봐
 누구세요
 이리와보라고 자식아. 죽고싶냐
 왜 이러세요 
 확! 죽을래? 조용히 이리 안와?
 무서워요
 돈 얼마있어. 다 내놔봐.
 저 돈 없어요
 씨발. 죽을래. 너 어디살아. 가진거 다 내놔봐.
 왜 이러세요
 산에 가서 확 묻어버리기 전에 호주머니에 있는거 다 내놔
 이러지 마세요","야, 초등학생. 이리 와
누구세요
이리 와 봐, 아가야. 죽고싶은거야
어쩌다가 이렇게 됐어요.
꾹! 죽고 싶은 거야? 조용히 이쪽으로 안 올 거야?
무서워요
돈 얼마나 있는데. 다 꺼내봐.
나는 돈이 없습니다
죽을거야. 여보 어디 사니? 가진 거 다 꺼내봐.
어쩌다가 이렇게 됐어요.
산에 가서 묻기 전에 주머니에 있는 것 다 내놔라
하지말아주세요"
28,107,갈취 대화,"이 사진을 봐.
어떻게 당신한테 이런 사진이 있지?
나한테 당장 100만원 보내.
그 돈을 내가 왜 당신한테 보내!
그렇지 않으면 이 사진 다른 사람한테 다 뿌릴거야.
제정신이야?
무서우면 얼른 돈 보내.
당신 이거 감옥가는 일이야. 내가 돈이 어디있다고.
돈 내놔. 안그러면 평생 지옥이 될거야.
안돼.","이 사진 좀 봐.
왜 너한테 이런 사진이 있어?
나한테 지금 당장 100만원 보내줘.
그 돈을 내가 왜 너한테 보내!
그렇지 않으면 이 사진을 다른 사람에게 다 뿌릴 거야.
제정신이야?
무서우면 빨리 돈 보내.
여보, 이건 감옥에 가는 거야. 내가 돈이 어디 있대.
돈을 내. 그렇지 않으면 평생 지옥이 될 거야.
안돼."
29,108,갈취 대화,"여기에 지장 찍으라고.
이번달 까지는 돈 정말 갚을게요.
내가 오늘 기분이 좀 안좋아서. 맞고 찍을래? 그냥 찍을래?
정말 못 찍어요.이번달까지는 돈 갚을게요.
아 그러셔? 그럼 맞고 지장 찍자.
재산몰수는 정말 안되요.
아니 맞는걸로 끝내려했는데 그냥 오늘 죽을래?
알겠어요 찍을게요.
이게 정신을 차리네.
재산은 정말 안되는데.",
30,109,갈취 대화,"이봐요 아저씨. 잠깐 서 봐요.
저 말입니까?
내가 배가 고픈데 지금 수중에 돈이 다 떨어져서 말이야.
무슨 말이 하고 싶은 겁니까.
아저씨 돈 좀 있어요? 
요새 현금 들고 다니는 사람이 어딨습니까.
아이씨. 현금도 안 들고 다녀요. 그럼 저기 기에서 돈 좀 뽑아와요.
저 은행 카드는 없는데요.
편의점 기에서 돈 뽑아오면 되잖아!
지금 갈취하려는 거요?",
31,118,갈취 대화,"야 너 이리와봐
저요?
니 말고 또 누구 있냐? 오라면 와
왜 그러세요
야 가진 거 다 내놔 봐
저 돈 없어요
신발 좋은 거 신었는데? 뒤져서 나오면 넌 죽는 거야
아 죄송해요 있는 돈 다 드릴테니까 때리지 마세요
얼마 있냐?
십만원 드릴게요","야, 오빠. 이리 와
저요?
너 말고 누구 있어? 오라면 오너라
어쩌다가 이렇게 됐어요.
야, 가진 거 다 내놔
나는 돈이 없습니다
신발 잘 신고 다니네? 찾아서 나오면 너는 죽는거야
아, 죄송합니다. 있는 돈을 다 드릴 테니 때리지 마세요
얼마나 있는데?
10만원 드립니다"
32,121,갈취 대화,"있는 돈 다 내놔! 아님 다 쏴버린다!
꺄악!!
너! 당장 돈 가져와.
저.저요?
그래 너 이새끼야. 말 못 알아처먹어? 너 먼저 죽을래?
죄. 죄송합니다!
이것들이. 다 죽고싶어? 뭘 꼬라봐!
아니.
어쭈? 말대꾸냐? 네가 그렇게 잘났으면 가방 좀 털어보자. 십만원 이상 안나오면 죽는다.
으악.!!","있는 돈 다 내놔! 아니면 다 쏴버릴 거야!
꺄악!!
여보! 지금 당장 돈을 가져와.
저, 저예요?
그래, 오빠. 말을 몰라? 너 먼저 죽을래?
죄송합니다!
얘네들 다 죽고 싶어? 뭘 꼬시는 거야!
아니.
어? 말대꾸야? 네가 그렇게 잘났으면 가방 좀 털어보자. 십만원 이상 안 나오면 죽는다.
우왓!"
