idx,class,conversation
15,기타 괴롭힘 대화,"새우버거
어, 손님. 새우버거 말고 저희는 슈림프치즈버거가 있는데 그거 괜찮으세요?
아니 왜 그렇게 말이 많아!
아, 죄송합니다. 이름이 달라서 확인차 찾아왔습니다
그래서 뭘 준다는 거야? 주면 시키는 대로 다 해!
받았을 때 먹기 힘들 것 같아서 확인한 것 뿐이에요. 죄송합니다
아, 뭐가 다른 거야
아, 새우 들어간 것 같은데 치즈도 들어있고
치즈를 뽑아주면 되잖아!!!!!!!!!!!!!!!!!!! 이 바보야 무슨 말이 그리 많니
죄송합니다."
16,기타 괴롭힘 대화,"야, 손가락 장애
뭐야??
귀에도 장애가 있어? 왜 못 알아듣냐
당신 방금 뭐라고 말했어
왜 장애를 보고 장애라는게 잘못된거야?
지금 당장 사과해라
싫은데 내가 왜?
당신 가만 안 둘 거야
정말 무섭네요
꺼져"
17,기타 괴롭힘 대화,"사진을 봐. 못생겼다
이런 댓글 좀 그만 달아주세요
팩트니까
얼굴이 튀어나오다
사진은 뭐야? 눈이 너무 작아
전부 신고하겠습니다
무슨 죄로?
으깨버렸어, 진짜 뭐야, 얼굴이
메기 유사
메기"
18,기타 괴롭힘 대화,"이봐, 아가씨!!
저를 아시나요?
예쁜데 어디 살아?
저리 가요.
아, 비싸게 하지 마. 스타일 짱인데?
따라오지 마세요!!
아, 그러지 말고 나만 따라와. 재밌는 거 보여줄게.
따라오지말래요!!!
굉장히 비싸다!! 좀 따라오라고!!
이거 놔!!!!!"
19,기타 괴롭힘 대화,"아, 김씨 진짜 짜증난다. 아주머니! 차를 빨리 잃어버립시다
아, 죄송합니다! 제가 초보운전자라서요.
아, 이모가 뭘 운전해. 집에서 밥이라도 하겠지
나와서 폐 끼치지 마라
말이 지나치잖아요.
어? 이 아주머니가 무서움 상실했는데 김씨 앞에 운전 안 하고 집에서 아이 키우면서 남편 내조나 잘하고 여자가 무슨 운전이야
저런 사람을 다 봤구나! 기가 막혀서"
20,기타 괴롭힘 대화,"야, 빵 좀 사와
미안해 나연. 나 오늘은 돈이 없어
아니, 이 미친 사람이 다른 애들 핀을 찢어서라도 구해와서
아니, 내가 어떻게 해. 그렇게 하면 돼
얘가 대들어? 그럼 빵을 훔쳐서라도 오라고 미친 거야
오빠 이상해. 도대체 어떻게 된 거야
아니, 이 미친 게 우리가 이상한가. 단지 당신이 달콤해서 그런거야
아,그렇구나
아, 그렇구나. 그런식으로 말하지 말고 빨리 사와 쓰레기"
21,기타 괴롭힘 대화,"야, 저 사람 좀 봐. 진짜 저 TV에 나오는 못생긴 개그맨 닮지 않았어?
푸하하하하. 정말 못생겼다 어, 너무 큰 것 같아
죄송합니다. 지금 저에게 말씀하신건가요???
아니에요
아, 그래요?
네, 그냥 가던 길로 가면 될 것 같은데요?
야, 저 사람 못생긴 대신에 귀는 밝은 모양이군
자기가 못생겼다고 생각하나보네
저 저한테 말씀하신 거네요. 저는 지금 심각한 모욕감을 느끼고 있습니다만, 빨리 사과해 주세요
어? 다른 사람한테 한 말인데요? 그쪽이 너무 민감한 것 같은데요?
제가 다 들었어요 그 두 분도 잘생긴 분은 아닌 것 같은데, 그런 말을 할 권리가 어디 있어요, 도대체?"
22,기타 괴롭힘 대화,"안녕하세요 번호 알려주시겠어요?
아니요, 죄송합니다.
한번만 주세요.
저 가야 돼요. 죄송합니다.
아니요 번호만 주세요.
싫다고요.
이게 미쳤구나. 번호만 달라고.
싫다고요!
번호만 주면 되는데 왜 소리를 질러. 미련해서일까.
어? 바보에요?
맞다 바보야!"
23,기타 괴롭힘 대화,"나 아니야 정말로
응, 그렇지. 당신. 나중에 나에게 맞을거야
미안.
얼굴도 거지같은게
미안해.
진짜 왜 그렇게 살아? 재수없으니까
내가 잘못했어.
너 한번만 더 그러면 퇴학시킬거야
미안하지만 내가 그런건 아니야.
그걸 믿으라고? 됐어. 말하고 싶지 않으니까 사라져"
24,기타 괴롭힘 대화,"여기 서비스를 부탁드립니다
네? 5천원어치 샀기 때문에 제가 남는 게 없어요 죄송해요
저는 맘카페 회원인데 이렇게 무심하게 장사하면 안 되는 거 아시죠, 요즘?
아, 죄송합니다. 제가 다음에 오실 때 더 드릴게요
제가 다음에 언제 올지 알아두세요? 그런 약속보다 지금 실행에 옮겨 주세요
아, 정말 죄송합니다. 저는 여유분도 없고
아니, 여기서 왜 이렇게 답답해?
죄송합니다. 한번만 용서해주세요
그렇게 장사를 해서는 오래 못 간다
네, 죄송합니다."
25,기타 괴롭힘 대화,"야, 너 왜 못생겼어?
뭐라고 했지?
으, 나한테 말하지 마. 얼굴을 보면 토할 것 같아
당신 말이 너무해??
으아, 돼지가 그래. 너 그 얼굴로 돌아다니면 부끄럽지 않아?
이봐, 그만두라고 했어
나는 사실을 말했을 뿐이잖아. 내가 뭔가 잘못된 말을 한 거야?
날 그만 괴롭혀
만약 내가 너의 얼굴이었다면 나는 그냥 살아있지 않았을텐데 정말 대단해
정말 그만둬"
26,기타 괴롭힘 대화,"야, 너는 왜 항상 말을 못해?
놀리지 마
뭘 놀리는 거야. 진실을 말하고 있는 것이지만www
나는 잘 못하는 거 아니야?
나는 질색하지 않아
흉내내지 마라
쿠쿠 흉내내지 말고
그만하라고 하면 듣고 싶지 않아
갓난아기처럼 우는 소리를 해서 이런저런 말을 한다
그만해, 흑흑"
27,기타 괴롭힘 대화,"아니, 감자가 왜 이렇게 짜!
고객님 무슨 일이십니까
감자가 너무 짜대. 감자가 아니라 소금이야
죄송합니다 고객님. 감자튀김에는 원래 소금이.
아니, 손님이 소금이면 소금이지. 무슨 얘기가 많아?
아니, 그게 아니라.
아니면 뭐야? 여기 직원 태도가 왜 이래. 사장님 나오래
고객님 죄송합니다。
손님이 왕인거 몰라??
죄송합니다
에이시 당신 먹어라 소금 같은 감자
죄송합니다."
28,기타 괴롭힘 대화,"야, 얘들아. 길동이 엄마는 장애인이래
어, 대박. 진짜 뭐야? 그럼 걔는 장애인 엄마가 해주는 밥 먹고 있는 거야?
그런 것 같은데? 어쩐지 냄새가
아, 아니야. 우리 엄마는 냄새가 안 나
냄새가 안나는건 냄새가 저리가!!
아니야! 냄새가 진짜 안 난다고. 그냥 너희랑 똑같은 밥을 먹은거야
어? 똑같아? 무슨 소리야, 너희 엄마는 장애인인데 뭐가 똑같아?
흠, 그러니까, 어디서 당신이 우리와 같아지려고 하는 거야? 너는 엄마만 장애인이야
아냐 아냐 아냐
울보래요
흑흑"
29,기타 괴롭힘 대화,"야, 장애인 녀석아? 팔병신이 밖을 돌아다니면 안 된다.
뭐라고? 너는 머리가 아프니?
무슨 소리야, 얘? 팔 다쳤으면서. 다른 팔도 접어줄까?
그만하고 그냥 가서 길을 가세요.
공부만 해도 의미가 없어. 팔이 하나 나왔는데. 이 자식은 나중에 딸도 못 해.
나 왼손잡이인데?
아, 그래요? 그럼 왼손도 까칠까요?
너 머리부터 고쳐와.
적어도 네 것보다는 낫다. 개병의 신이여.
경찰에 신고할게."
30,기타 괴롭힘 대화,"무엇을 주문하시겠습니까?
뭐 좀 주세요
왜 이렇게 안 나와
빨리 드리겠습니다
지금 시간이 안 보여요
고객님 10분도 안 됐습니다
빨리 주세요. 여기는 서비스가 엉망이군
죄송해요
왜 이렇게 느려. 빨리 안 줘요.
알겠습니다."
31,기타 괴롭힘 대화,"어머, 도윤이 더 예뻐졌네?
정말? 고마워!
뭐야, 진짜인 줄 알아?
H. 아니었구나
정말 자기가 예쁘다고 생각하는 거야? 꼴에
미안.
얘 너 못생겼어. 정도를 알고 있다
알고 있어.
알고 있으면 가만히 있어
그래。"
32,기타 괴롭힘 대화,"운전 기사님, 저는 지금 휠체어이기 때문에 저상 버스의 다리를 내려서 탑승할 수 있습니다
아니 하필 출근시간에 사람도 많은데 다음 버스 타면 안되나요?
지금 이 버스를 타지 못하면 지각이니까 한번만 부탁드립니다
그럼 다들 타시면 마지막에 타세요
네. 부탁드립니다
발을 내릴테니 빨리 타세요.
기사님, 여기서 내리셔야 해요
아, 정류장에 차가 많이 서 있어서 그냥 도로에 내려드릴게요
매우 위험하지만 조금만 보도에 가까이 가주세요. 감사합니다
아니 진짜 바빠서 죽을 것 같은데 귀찮을 것 같아 장애라면 집에 있을게."
33,기타 괴롭힘 대화,"이봐 거기에 우당탕탕하는 녀석
나?
그래, 오빠. 여기 비틀거리는 놈이, 너밖에 없어?
놀리지 마
네 다리가 짧은 걸 얘기하는데 뭘 그렇게 흥분해
그런 말 하지 말아요
그럼 장애인 애라고 불러줄까?
나도 이름이 있어
맞아요. 이름이 있군요
몇 번이고 그런 대답을 하지 마라"
34,기타 괴롭힘 대화,"인테리어비를 깎아주세요
네? 이것도 정말 많이 싸게 했는데
아, 그런데 제가 맘카페 운영진인 거 아시죠?
네。
내가 카페에 리뷰도 자주 써볼 테니까 더 싸게 해줘. 한 삼백쯤 깎아 주는 건 어때
부인의 인건비도 나오지 않습니다
아니, 남는 게 없다는 게 다 업체들이 말하는 건데 그런 얘기고
. 삼백은 정말 안 돼요
사장님, 통 크게 해서. 아직 젊은 것 같은데 업체에서도 망하면 힘들겠지? 괜히 입소문이 나서 좋을 건 없어
생각 좀 해볼게요"
35,기타 괴롭힘 대화,"여보, 이제 죽을 거예요. 게임에 지고 있는 이유가 당신 때문이잖아요.
저는 별로 죽지 않았어요. 헬프핀 찍고 나도 핀에 들어갔는데 같이 죽어놓고 왜 정글 욕을 해요?
여보, 이제 변명은 그만 하세요. 어설픈지 자꾸 죽네.
정글 차이
인정
봐봐 팀원들도 다 인정하잖아. 사람이 좀 인정하고 살아야 돼.
아니 왜 저한테만 그러냐고요?
여보, 키보드 칠 시간에 게임이나 하세요.
여보 제발 조용히 해요.
정말 양심이 없는건가?
아니, 그리고 여러분들이 저보다 많이 죽었잖아요.
차단신고 해주세요 여러분
네。
정지당하더라도 정신차려라"
36,기타 괴롭힘 대화,"아저씨, 잠깐 자리 좀 비켜주시겠어요?
응? 무엇 때문에 그랬는지 알려줄래
아저씨, 좀 보세요
그게 무슨 소리냐
노숙자처럼 더러운 냄새가 납니다
아, 미안해
미안하면 우리 가게에 오지 마세요
아.
저희 매장이 고장나면 책임지겠습니까? 그런 능력이 없으면 오지 마세요
아, 알았어"
37,기타 괴롭힘 대화,"이봐, 못생긴 놈
뭐야, 그만해
오레리 꼬르렐리 당신은 눈도 코도 작고 못생겼나
적당히 해, 선생님에 대해서는 말하지 않을게
머지않아 못생긴 놈아
하지 말라고. 스트레스 받으니까
못생긴 게 어디서 말대꾸야
저리 가. 너 때문에 학교 다닐 수가 없어
나오지 마. 부탁이니까 당신, 얼굴을 보고 싶지 않아요
비켜! 엄마는 혼낼거야
올레리콜렐리못생긴게
죽고싶다"
38,기타 괴롭힘 대화,"너는 이 옷이 뭐야?
너희 어머니?
아니, 투덜투덜 내가 너랑 같이 다니는게 참 부끄럽다
아, 죄송합니다. 아기를 보고 있는 도중에 급하게 불렀기 때문에, 적당히 나왔기 때문에
그래서 내 잘못이라는 거야?
아니요, 아니요. 그런 것은 아니었습니다
어휴 학력도 짧고 남탓도 잘하고 우리애가 뭐가 좋아? 당신과 결혼했는지 모르겠다 아이
엄마, 아무리 제가 미워도 그렇죠. 애가 듣는데. 너무해요
이 아이 눈물 보이지 마라 딱 질색이니까
예 알겠습니다"
39,기타 괴롭힘 대화,"야, 쟤 짜증나지 않아? 당신 저 아이와 놀기만 한다
왜 그래 갑자기
갑자기? 너도 당하고 싶지?
다들 건강하게 지내면 안 돼?
아, 당신도 있어야 정신을 차리는거야
왜 그래
무슨일이야? 어디서 말대꾸하는거야?
아, 미안해
미안한 말을 왜 해?
알겠다"
40,기타 괴롭힘 대화,"오늘 건강검진 하는 날이라고 다들 아시죠?
내 몸무게를 알려주지 않았으면 좋겠어.
걱정되니? 하긴 네 배에 붙어 있는 튜브를 보면 그럴 수도 있겠다.
너 자꾸 놀려?
이게 놀렸나? 나는 사실만 말했는데
너 자꾸 놀리면 선생님한테 말해.
선생님 빠르시네요. 내가 뭘 잘못했어
너 진짜 하지 마."
41,기타 괴롭힘 대화,"거기 물 좀 가져와. 이거는 버리고
나 이거 아직 안 끝났는데.
내가 그런 것까지 신경 써야 해?
그냥 하라고 하면 되는데. 말이 많아
놔둬. 얼빠져서 어디다 쓰냐
그만해. 나 바보 아니야
무슨 소리야.
어디서 개가 짖어?
하지 마, 진짜.
그만두지 않으면 어떻게 할 거야? 때릴 거야? 때릴 거야
칠 줄 모르는 주제에 눈을 떠라"
42,기타 괴롭힘 대화,"아주머니
네, 안녕하세요
이모, 여기 지금 사람 많은 거 안 보여요?
네, 보이는데요 저도 제 업무를 하고 있기 때문에
아줌마 왜 사람한테 피해를 줘요?
피해라고요? 제가 청소를 깨끗하게 하고 있는데
아침부터 방해하는 거 아니에요
말이 지나치신 거 아니에요?
이 아줌마가 내가 누군지 알고!!
뭐라고요?"
43,기타 괴롭힘 대화,"나 살찐거 같더라
아니, 네가 왜 살이 찌는 거야
아니야? 진짜?
응, 네가 살찌면 난 뭐야
너는 돼지야
엥?
눈치가 빠르네 다행히. 제발 다이어트 좀 해줘
나도 알아.
아는데도 안 빠져? 너 설마 몸에 만족하니?
사람 많으니까 그만해
정신 차리고 부끄러운 줄 알아라"
44,기타 괴롭힘 대화,"아니, 왜 피 빼기가 이렇게 아파!
환자분은 원래 좀 아프거든요. 바늘이 들어가는데, 안 아플 수가 없잖아요
아니, 안 아프게 빼는 게 능력 아니야?
바늘이 들어가는데, 아프지 않을 리가 없습니다
피를 뽑을 능력도 없으면서 말대꾸하는 능력은 있나보네
환자분 말씀이 지나치십니다
아, 아파, 멍이 들면 책임질 거야?
환자분, 너무 무리하시면 저는 힘들어요
나도 네가 피를 너무 많이 아파서 힘들대!
아, 죄송합니다.
벌써부터 그렇겠지"
45,기타 괴롭힘 대화,"야, 너희 집이 어딘지 이제 아는데.
왜 그래, 제발 우리 집에는 오지 마.
그럼 내가 얘기한 거 하면 되잖아.
그걸 어떻게 내가.
안되면 집에 내가 가야지.
제발 오지 마라
그럼 저기 가서 면담을 하자.
제발 안 돼요. 하겠습니다.
그때 얘기했다. 보고 가야지.
알겠다。"
46,기타 괴롭힘 대화,"이민수 너 교무실로 당장 따라와
어? 저요? 왜요?
오빠 이 영상 뭐야!
아, 그거요? 그거 어제 대영이랑 놀았는데요?
네 눈에는 이게 노는 거야? 얘가 쓰레기를 뒤집어쓰고 어?
아, 대영이한테 물어보면 되잖아요. 형, 네가 대답해 봐. 어제 우리가 놀다가 네가 벌칙을 받은 거지?
어? 어, 선생님, 저 그건 제가 어제 애들이랑 놀아서요. 그런 거죠. 제가 원해서 한 거예요.
어? 너 이게 정말 논거야?
네, 제가 내기에서 져서, 애들이랑 장난친다고 찍은 동영상이에요. 저는 괜찮습니다. 선생님.
봐요! 저는 틀리지 않았어요!
민수야, 이제 동영상 좀 꺼줄래?
제가? 어, 그냥 지우기도 아깝고 너 그럼 올해 계속 내 셔틀을 끄면 꺼줄게"
47,기타 괴롭힘 대화,"지영아 안녕?
아, 현서야 안녕!
집에 있다가 학원에 가는 거야?
응, 벌써 학원에 갈뻔했어
나 오늘 너희 엄마 봤는데?
응? 어디서?
어느 건물 화장실에서! 너희 어머니 청소부야?
H. 응, 우리 엄마는 청소부야.
어, 진짜? 너희 집 겨울 젓가락이구나?
겨울 숟가락이라고? 무슨 말을 그렇게 해.
네 엄마는 화장실 청소부가 아니야. 그러면 너희 집은 굉장히 가난해지겠네!
야, 말 조심해. 우리 엄마의 청소부라도 우리 가족은 마음까지 가난하지는 않아."
48,기타 괴롭힘 대화,"여보, 이제 당신도 일해야 하는 거 아니야?
응? 왜?
나 혼자 버는 돈으로 힘드니까.
아니, 네가 돈을 더 벌어오면 되는 거 아니야? 결혼할때 약속했잖아 저는 육아만 하면
아.
봐봐, 결혼하면 다 바뀐다며? 네가 밖에서 일하는 것보다 육아가 더 힘들다
그거는. 좀.
나는 일을 하지 않을 것이고, 네가 부업을 하든 무엇을 하든 네가 알아서 해라
아휴.
밖에서 일하는 게 얼마나 힘들단 말이야? 네가 일의 머리가 나쁜 건 아닐까? 다른 남자들도 다 하는데 너는 왜 못해?"
49,기타 괴롭힘 대화,"야! 왜 눌러.
안 눌렀는데? 네가 젓가락처럼 말라서 힘이 없는 거 아니야?
네가 분명히 눌렀잖아.
얘들아? 힘이 없어서 넘어진 걸 나한테 밀었다니까? 집에 쌀이 없나 봐.
진짜 오빠 나한테 왜 그래.
강해서 말하는 것도 바보같아
우리는 친구가 아니야. 친하게 지내보자.
친구? 누가 너랑 친구야? 너와 나는 수준이 달라.
오빠 너무한다, 진짜.
내가 뭘?"
50,기타 괴롭힘 대화,"아 얘 봐 얘 신발 봐봐
하하하하, 진짜 신발 대박이다. 이런 걸 신는 거야
이.이건 선물 받은 거야.
누구한테? 너 같은 가난한 사람한테 누가 이런 걸 줘?
그, 그런 사람 있어. 선물 줬어.
얘 어이가 없네? 이런 거 받으면 우리 줘야지? 너 같은 패배자한테 이런 거 어울려?
아 안돼 이건 선물 받은거라 안돼 다른거 줄게.
아니, 네가 가진 건 다 거지 같아서 손대기도 싫어. 하지만 그 신발은 신상품이잖아
미안해 내가 다음에 줄게. 정말 오늘은 그만하면 안될까?
이거 안 주면 힘들 것 같은데? 그냥 주고 끝날까? 안주면 내가 어떻게 할지 궁금해?
정말 미안해. 이 신발만은 안 돼."
51,기타 괴롭힘 대화,"야, 쟤가 왜 사는지 모르겠어.
아, 나라면 벌써 퇴학했을 텐데.
그렇단다
야, 하지 마.
뭐가 맞는 말이야.
너라면 살고 싶다고 생각해?
남한테 무슨 말을 그렇게 심하게 해.
살이 찐 것 같아.
와, 냄새 너무 난다
너희들 진짜 너무한다."
52,기타 괴롭힘 대화,"얘들아 스컹크 지나간다. 코 잡고. 어휴
내가 스컹크라고 하지 말라고 했잖아.
내가 스컹크라고 하지 말라고 했잖아. 야, 왜 그런 말을 해?
따라 하지 마.
흉내내지 마, 완전 모자란 놈. 야, 그리고 네가 스컹크니까 스컹크라고 하는 거야.
내가 왜 스컹크야.
냄새가 어떻게 해, 스컹크도 너보다 낫네.
나 냄새 안 나. 웃기지마。
네가 왜 냄새가 안 나? 야, 화장실 냄새보다 네 냄새가 더 심하니까 차라리 너랑 있다면 화장실에서 입을 벌리고 있는 게 좋아
그럼 나랑 얘기해야지 뭐 어때. 왜 나한테 와서 계속 그래.
그건 다른 애들도 네가 냄새가 난다는 걸 알아야 피해갈 수 있잖아. 아이들이 불쌍해서 그래"
53,기타 괴롭힘 대화,"정말 여기를 차면 아프니?
응? 아프지 않을까?
나는 없어서 내 것을 못 차는데, 네 것을 한 번만 차보자.
굳이 그걸 해볼 필요가 있을까?
아, 궁금하다니까. 여자들은 이런 거 없잖아. 남자만 달렸어
근데 진짜 아픈데.
야, 내가 차면 왜 이렇게 세게 차도 진짜 남자가 쫄아?
심하면 진짜 문제가 생길 수도 있고.
응, 적당히 할 테니까 가만히 있어. 진짜 한 번만 차볼게.
그런데 아!"
