idx,class,conversation
10,일반 대화,물놀이 하는 거 좋아해?\n 서핑 이런 거 해봤어?\n 안 해 봤어~ 수영을 못해서 그냥 물장구 정도만 좋아해 키키\n 그건 해 봤다 그 이름 뭐였지 타고 누워 있어도 되는 거\n 뭐지... 궁금하다... 튜브밖에 안 떠오르는데 이게 답이 아닐 것 같아..\n 서핑은 안 해봤는데 물놀이는 짱짱 좋아해\n 튜브 타는 거 재밌징~ 누워 있는 게 뭐야? 키키 그게 뭐지 키키\n 패들 보드였나 그랬던 거 같은데~\n 나 튜브 싫어해 ㅠㅠ 거기에 매달려 있으면 답답해\n 아아 그 효리가 타던 그건가 키키 맞아 그것도 타보고 싶었어 ㅠㅠ\n 아 패들 보드! 나도 타보고 싶당\n 나 저번에 속초 갔을 때 파도가 되게 세 가지고 키키 튜브 타고 좀 있으니까 멀미 나더라... 튜브 멀미 처음 해봄\n 바다에 갔을 때 물멍하고 있으면 가끔 어지럽지 않아?\n 정신 차려보면 나도 모르게 물 더 가까이 가 있고 ~\n 맞아 맞아 나도 바다 계속 보고 있으면 처음에는 평화롭고 좋다 가도 약간 사람이 멍해지고 좀 시간 감각이 없어진다고 해야 하나...!\n 맞아 그래도 아무 생각 없이 있을 수 있어서 좋은 거 같움\n 스트레스는 풀리는 거 같아 바다도 오랜만에 가고 싶다~ 바다 간 지는 진짜 너무 오래됐네...\n 실내 양궁장이나 사격장 가서 양궁이랑 사격 해본 적 있어?\n 아니 한 번도 없는데 해보고 싶어 재밌을 거 같애! 해봤어?\n 아니 안 해봤어~ 해 보고 싶었는데\n 헉쓰 이거 은근 재미 있어요!  친구들이랑 가서 해봐요 나중에 뭐 할 거 없으면! 점수 잘 나오면 인형도 줌\n 나는 다트만 해봐서 뭔가 양궁 궁금하긴 했어! 어때? 10점 맞췄어? 키키\n 나도 다트는 많이 했었는데~ 어땠어? 재능이 있는 거 같아? 키키\n 헉 나는 다트는 안 해봤네 키키\n 양궁이 막 선수들 하는 것만큼 멀리 있는 것도 아니고 활 당기는 것도 막 어려운 건 아니어서 꽤 재미 있었어!  뭔가 쏘는 맛이 있달까\n 오... 나는 그 활 당기는 게 어려울 거라고 생각했는데! 그렇구나 담에 해보러 가야겠당\n 언니는 사격 해봤어?\n 나 사격도 안 해봤어~ 재밌지? 재밌을 거 같아\n 재미있어 키키 근데 사격은 좀 총에다가 장난쳐 놓은 곳이 많더라고 ㅠㅠ 분명 그 조준점 제대로 놓고 쐈는데 안 맞아서 어이가 없었음\n 어? 총에 장난쳐서 그런 거야 아님 잘 못 쏜... 아 아니야 ^^\n 키키 그거 일부러 초점 틀어 놓은 다며~ 상품 많이 가져가면 곤란하니까~ 키키 우리 믿어주자 우리 막내\n 생각보다 예리하네들 키키 조... 조준점 때문이야! 그런 걸로 하자... 흠흠
11,일반 대화,요즘 스펙들이 다 좋아.\n 요즘 고스펙의 시대잖아.\n 토익들은 다 900점 넘어.\n 그렇게나 점수가 높아?\n 나는 700점 중반이었어.\n 나는 800점 중반이었어.\n 토익 좀 잘했네?\n 내가 좀 잘했지?\n 토익 스피킹은 안했어?\n 나는 토스 안했어.
12,일반 대화,너는 남친이랑 언제 결혼할 거야?\n 남자친구는 내년으로 생각하고 있는 거 같아\n 가장 중요한 너의 마음은 어떠니?\n 내 마음도 비슷하긴 하지만 나는 좀 더 직장 생활하고 싶기도 해\n 그렇지 우리는 아직 젊잖아!\n 아직 20대 중반이니깐 너는 어때?\n 나는 아직 결혼은 먼 나라 얘기인 거 같아.\n 남자친구는 결혼 얘기 안하고 있어?\n 우리 둘 다 그런 얘기 잘 안 해 키키\n 키키 가장 이상적이다 부담스럽잖아 그런 얘기\n 맞아 그런 생각은 앞 자리가 바뀌고부터 생각하려고!\n 요즘 추세가 그러니깐 별로 문제 없을 거야 키키\n 맞아 요즘에는 결혼 안 하고 동거만 한다고 하더라 키키\n 나도 결혼 전엔 동거를 먼저 생각하고 있어 키키\n 나도 그거는 완전 공감이야 키키\n 실수가 없으려면 그래야 하지 않나 싶어 키키
13,일반 대화,"요즘에는 일한다고 회식 잘 안하나보네?\n 아무래도 그렇지, 내일 알바 시험 끝나고 뭐하노\n 알바하는곳에서 회식하지 않을까?\n 우리는 다음주 월요일에 회식한다하대\n 뭐먹으러 가는데?\n 인자 내한테 물어보지도않고 회식날짜 정하대\n 누가 회식날짜를 정하는데?\n 그것도 모르지 즈그들이 정하겠지 머\n 그래? 즈그들이 누군데?\n 그냥 다른 팀원들이지 머\n 맛있는거 먹으러가나\n 아마 고기먹을껄, 자세히는 모르겠네"
14,일반 대화,가을에는 항상 일교차가 너무 심해서 옷을 어떻게 입어야 될지 모르겠어...\n 진짜 난 어제 너무 추웠어서 긴팔 입구 왔다 ㅠㅠ\n 얇은 거 입으니까 딱 좋았어 하하\n 키키 그니까 어제 비 와서 추웠는데 오늘은 또 다시 원래 날씨로 돌아온 것 같아 그칭\n 맞아 오늘은 덜 추운 거 같더라!\n 난 아직 긴팔은 더워 ㅜㅜ\n 지하철 안에서는 조금 덥긴 해 키키\n 그래서 팔 걷고 왔어\n 맞아 밖에서는 좀 추워도 지하철 들어오면 금방 더워서 나도 긴팔 못 입겠어\n 웅 나는 오히려 이때가 더 더워\n 왜냐면 밖에 날씨 시원하니까 에어컨을 안 틀어주는데 사람 많아서 열기 엄청나서 반팔 입고도 엄청 땀 나 ㅜㅜ\n 와 나랑 진짜 반대야  키키\n 난 이때가 젤 추워\n 키키 근데 이때 지하철 너무 덥긴 해\n 밖이 더 시원해 오늘도 4호선 에어컨 안 틀어주더라 ㅠㅠ\n 맞아 이때는 지하철 너무 더워...\n 오늘도 땀 흘리면서 왔다 밖에는 물론 나두 춥지ㅜㅜ\n 그 정도였어? 키키\n 그냥 따뜻하다고 생각했어 좀 있으니까 살짝 더워지긴 했는데...\n 근데 이러다 또 금방 털옷 입겠다 그치 키키\n 키키 그니까 롱패딩 입고 출근할 거 생각하니까 좀 끔찍하네...?\n 맞아 이제 좀 있으면 아침 저녁에 진짜 겨울이야\n 두꺼운 겉옷 갖고 다녀야 돼 키키\n 진짜 귀찮아서 맨날 롱패딩만 입을지도...\n 롱패딩 진심 최악이네 키키\n 그거 입고 버스나 지하철 타면 앉을 때 완전 불편하잖아...\n 가방 들고 다니는 것도 싫어 ㅠㅠ\n 키키 그래도 우리 시험 끝나면 가방은 가벼워서 좋당 그치\n 키키 난 원래 키보드 안 가지고 다녀서 가방은 가벼웠지롱~\n 키키 맞아 이번 주말도 가벼울 예정이야?\n 키키 이번 주말에 가볍게 가면 혼낸다 나나야 안 돼!\n 흠 안 할 거 같지만 예의상 가져갈게!\n 키키 송송아 조심해!\n 어제 우리 얘기했잖아...\n 잔소리 잘못하면 큰일 나\n 키키 안돼\n 나나는 우리가 키우니까 폭풍 잔소리 가자\n 키키 아니 여러분 잔소리 안 해도 제가 알아서 잘 합니다!\n 키키 오케이 암튼 우리 컨디션 관리 잘 하자!\n 이런 날씨 진짜 조심해야 한당\n 키키 맞아 그래서 요새 창문 꼭 닫고 자는 중
15,일반 대화,집으로 너무 재밌더라\n 나도 그거보고 시골가서 지내보고 싶다 생각 했어\n 나도나도 보는 내내 마음이 편해지더라\n 맞아 요즘 이런 영화가 너무 좋지\n 나도 그래 현실도 힘들어서 그런지 이런영화 좋아\n 그래서 요즘 그런 영화가 뜨는 것 같아\n 맞아 요즘은 드라마도 그런게 좋아\n 집으로 같은 영화 또 없나?\n 집으로 일본 영화도 있어\n 아 맞아 그러네\n 너네 일본 영화도 좋아해?\n 응 나는 일본 영화도 재밌더라\n 나도 일본은 그냥 멜로 영화가 재밌어\n 맞어 다른건 특유의 일본 감성이 있어서 그냥 그래\n 나도 공감이야 멜로 영화만 재밌더라
16,일반 대화,큐티클 관리 하고 왔어~\n 그거 왜 여름에만 해?
17,일반 대화,지나가다 까치가 다쳐서 쓰러져 있어요 어떻게 할까요?\n 그냥 모른 척 하세요 박씨 안물어다 줍니다\n 그 까치를 키워보는 게 어떠세요?\n 키우는건 아닌거 같고 병원을 데려다 줘야 하나 고민 잠시 했어요\n 저는 까치가 박씨를 물어다 준다는 소리는 들어본 적 없어요\n 저는 길에서 발견한 참새를 보고 치료해주고 키우고 있어요.\n 그냥 모른척 했네요\n 저희집 햄스터도 골골 대는데 제가 다른 동물 신경쓸 여유가 없어서요\n 참새는 치료해주는 게 아닙니다. 먹는 겁니다.\n 참새 키우는 재미에 살고 있어요. 강아지 같아요.\n 아 참새는 먹을 수 가 있는거군요 많은걸 배웁니다.\n 포장마차에 가면 참새구이 대박 좋아요\n 안됩니다. 그 귀여운 새를 먹다니요. 한번 키워보세요. 매력에 빠집니다.
18,일반 대화,학교 생활 언제가 제일 좋았어?\n 나는 중학교 때가 제일 좋았어 키키 너희는?\n 나는 고등학교 때 친구들이랑 학교 끝나고 놀러 가는 게 재밌었어 키키\n 키키 나도 고딩 때 그땐 생각 없이 놀았는데\n 고등학교 친구들이 오래 간다는데 난 중학교 친구들이 지금 오래가는 거 같아 키키\n 키키 신기하다 키키\n 나는 중학교 친구들이랑은 연락을 안하고 지내 ㅠ\n 신기하네 키키 난 두 세명만 연락하고 안 하는데\n 다들 신기하다고 그러더라고 키키\n 근데 동네가 좁아서 다 그 친구가 그 친구야\n 아아~ 나도 유치원 초등학교 중학교 다 같은 친구인데 키키 연락을 안 하는 게 신기... 키키\n 맞아 그리고 자주 마주치더라고 키키 좁아서\n 키키 제일 처음 다녔던 학원은 어디야?\n 키키 나는 처음에는 피아노학원!\n 그러다가 적성에 안 맞아서 포기했어 키키\n 난 태권도 키키 뛰어 놀고 재밌었어\n 오 태권도 키키 피아노 키키 나는 그냥 공부 학원 ㅠㅠ\n 태권도면 되게 활발하게 다녔겠다 키키\n 나도 합기도 다녔는데 재밌더라!\n 키키 기합 넣고 키키 그냥 놀러 다닌거지 뭐\n 다들 학원 오래 다녔어?\n 키키 맞아 키키 정작 지금은 할 줄도 모르고 키키\n 나는 합기도 학원만 오래 다녔어~!
19,일반 대화,우리 아빠는 요새 여성호르몬이 많이 나오나 봐.\n 우리 아빠도 그러는데.\n 안 보시던 드라마를 보신다니까.\n 우리 아빠는 다혈질이던 성질이 좀 죽었어.\n 아빠도 늙어가시나 보다.\n 난 요즘이 더 좋아.\n 아버지가 유해지니까 집이 조용하긴 해.\n 그래도 가끔 버럭하실 때도 있어.\n 맞아 완전히 유해지신 건 아냐.\n 같이 말도 걸어드리고 해 봐.
20,일반 대화,언니는 영화를 볼 때 무엇을 기준으로 봐?\n 나는 가장 먼저 내가 좋아하는 감독이 낸 작품인지 확인해봐.\n 언니는 감독에 대해 많이 알고 있구나!\n 많이 아는 것은 아니지만 같은 감독이 낸 영화들은 조금 비슷한 느낌을 가지고 있어서 영화를 선택하는 기준으로 삼기 좋아.\n 나는 무조건 좋아하는 배우가 나오면 보는 편인데 나랑 많이 다른 편이네\n 응 그리고 나는 애니메이션 영화를 많이 보니까 배우가 중요하진 않아.\n 그러면 성우는 신경 쓰는 편이야?\n 아무래도 좋아하는 성우가 나오면 보기도 하지.\n 영화를 보는데도 이렇게 기준이 다르다니 너무 신기하다!\n 너도 좋아하는 영화가 생기면 감독을 잘 기억해 놓았다가 나중에 같은 감독의 영화를 봐봐!\n 그러면 색다른 재미를 발견할 수 있을 거야!
21,일반 대화,요즘은 황혼이혼이 급격히 증가하고 있다는데 주변에 혹시 있어?\n 나는 본 적 없는데 실제로 많은지 궁금하네.\n 내 주변엔 없는데 요즘 많은 것 같더라\n 결국 자식들을 위해 참고 살다가 결국 모든 의무가 끝나니 이혼하는게 아닌가 싶어.\n 확실히 여자들이 이혼을 많이 요구할 것 같긴 해.\n 응 대부분 여자들이 요구 많이 한데\n 그만큼 자신을 희생해서 가정을 지키는 것인데 스스로 얼마나 처참할까 싶어.\n 남자들이 은퇴하고 나면 이혼하는거 라면 참 안타깝다.\n 둘이서 살땐 남자도 어느정도 집안에서 역할을 해야된다고 생각해\n 각자의 인생을 존중하고 이해해 줬으면 좋겠어.\n 각자의 삶이 바쁘겠지만 부부가 서로 대화를 많이 하며 사는 것도 중요해.\n 아직 결혼을 안해서 모르겠지만 좀 비참할 거 같기도 하네
22,일반 대화,빵 만드는거 배우고 싶어\n 빵 만들어서 직접 먹을려고? 키키\n 빵 만드는거 재밌지!\n 키키 홈 베이킹 요즘 땡기더라\n 와 키키 빵 만드는거 재밌긴 하겠다\n 막상 만들면 기진맥진 되긴 하는데\n 만들어서 나도 먹고 선물도 하고 싶어 키키\n 오 선물 하는것도 좋긴하겠다 키키\n 이쁘게 안나오면 큰일나겠는데 ? !\n 키키 그러면 멘붕일듯 ㅠㅠ\n 계속 연습해야지\n 그래도 주방 엄청 더러워지겠다 키키\n 밀가루 날려서 더러워지긴 하지...\n 기구도 많이 필요 하던데 키키\n 나 장비충이라 걱정되네\n 그니깐\n 돈 들어가는것도 장난 아이겠다\n 장인은 도구탓을 하지않아!\n 키키 난 아직 초보라...\n 나도 알려주라\n 그래도 배워 보는거는 좋은거 같긴하다!\n 월 55만원에 모시겠습니다 손님
23,일반 대화,내 손 봐! 다시 갈라져서 피나기 시작했어\n 아이고 진짜 겨울이 다가오는구나.\n 그러니까 말이야. 지금 몸도 다 갈라졌어\n 로션 좀 꼼꼼히 발라!\n 나 로션 계속 바르고 있어\n 그런데도 그렇게 심하단 말이야?\n 응 날씨가 너무 건조해서 오일을 바르는 데도 이러네\n 그러면 가습기를 틀고 계속 로션 덧발라줘.\n 그래야겠어 그리고 피부과도 다녀와야겠어\n 그래. 날씨에 건조함이 조금 사라져서 네 피부도 좋아졌으면 좋겠다!
24,일반 대화,여러분 중고 거래 해 보신 분\n 나 몇 번 해봤어 키키 당근 당근으로 ~\n 나는 팔기만 해 보고 산 적은 없다!\n 뭐 사 봤어?\n 나는 아예 중고 거래를 해 본 적이 없어\n 난 뭐 의자 사려고 했었는데 알고 보니까 유아 의자였어서 안 삼 키키\n 근데 팔면 은근 뿌듯하고 기뻐 몇 천 원 받는 건데 키키\n 근데 그거 믿을 수가 있어?  뭔가 불안해\n 너 뭐 팔아봤어 **?\n 나 자전거 오천 원에 올렸다가 당근 셀럽 됐잖아\n 나 폰 팔아보고 싶은데 꿀팁 없어?\n 아니 자전거 오천 원 미쳤네 나한테 팔지!\n 그냥 당근에 고퀄이라고 올리면 연락 걍 와\n 얼마 주고 팔고 싶은데?\n 자전거 왜 오천 원에 올렸어?\n 더 비싸게 올려도 되잖아\n 진짜 키키 저 바보 나도 핸드폰이랑 아이패드 팔아봤어\n 몰라 그냥 그때는 당근 처음이라 몰랐어 키키\n 그건 모르지 그냥 평균적으로 팔리는 중고가로 팔고 싶지\n 그거 검색해보고 가격 시세 봐봐!\n 아이패드 얼마 주고 팔았어?\n 나 아이폰 13산 다음 팔고 14 사고 싶어\n 나 기억 안나 키키 거의 중고 시세 확인하고 비슷하게 올렸던 듯?\n 오 근데 나름 괜찮다 새 거 쓰고 팔고 또 새 거 쓰고\n 그치 그렇게 하는 사람들 많다더라\n 키키 그거 괜찮은 듯 아이폰은 가격 잘 안 떨어지니까\n 이번에 13 나오면 도전해 보자!
25,일반 대화,매번 뭐 사는지 월급이 순삭이야\n 맞어\n 그래서 가계부 작성하면 좋아 키키\n 난 가계부 쓰다 보면 현타 오던데\n 가계부 하려다가 포기했어... 해야 하는데\n 근데 가계부 써도 고쳐야지! 이런 생각 안 하면 안 쓰는 게 좋아 키키\n 그래서 나는 안 쓰게 되더라고\n 키키 근데 써야 좀 줄어들 거 같아 소비 요정이라 키키\n 불필요한 건 웬만하면 안 사는 게 젤 좋은 거 같애\n 근데 항상 불필요한 게 사고 싶어져\n 맞아 키키\n 알면서도 항상 못 실천해...\n 불필요한 거 안 사도 돈은 쭉쭉 빠져나가는 거 같은데 ㅠㅠ\n 난 식비가 많이 나오더라\n 이번 달도 소비 장난 아니야 키키\n 담 달부터 좀 줄여야지\n 후회는 늘 하지만 같은 실수를 반복하지 ㅠㅠ\n 돈을 더 벌어보자 소비를 줄이지 말고\n 이러다 언제 차 사고 언제 집 사 키키\n 앜 키키 그렇지\n 진짜 집을 언제 사냐 키키\n 난 집은 포기했어...\n 로또 당첨돼야 살 수 있어
26,일반 대화,머리가 너무 많이 빠지는 것 같아\n 요즘 탈모가 다들 최대 고민이라고 하던데\n 응 오빠는 탈모 고민 없어?\n 탈모 증상은 없는거 같아\n 다행이다 젊은 사람도 요즘 탈모가 정말 많아\n 맞아 특히 스트레스 때문인 것 같아\n 응 스트레스는 정말 만병의 근원이야\n 머리가 많이 빠지고 있는거야?\n 나는 정말 많이 빠지는데 머리숱도 정말 많아\n 그럼 탈모는 아닐꺼야
27,일반 대화,오빠도 차 가지고 있지?\n 응 아방이라고 알고 있니?\n 아방이면 아반떼를 말하는 건가?\n 맞아 키키 많이 부셔져 있어 키키\n 그래? 몇 년식인데 그래?\n 16년 식인데 너무 험하게 타서 그런가 봐\n 16년 식밖에 안 됐는다고?\n 얼마나 험하게 탔는데?\n 범퍼는 반 정도가 없다고 보면 돼 키키\n 그거를 그냥 끌고 다녔어?\n 응 키키 범퍼는 원래 소모품 아니야?\n 그렇긴 한데 비 오면 부식 되잖아.\n 응 그래서 안개 등도 나가버렸네\n 아이고 이 오빠야 정신 차려라!\n 키키 이제 한번 싹 갈아줘야지 아방이\n 그냥 새 차 사는 게 어때?\n 키키 새 차 사기엔 너무 정들어서 키키
28,일반 대화,"주택에 살아? 아파트에 살아?\n 나는 아파트><\n 주택이 짱인듯\n 난 주택!\n 근데 그냥 평범한데~키키\n 키키 나도 주택인데 키키 아파트에 살고 싶어\n 키키 ㅇ ㅇ 나도 주택 살 때 아파트 살고 싶엇는데 지금은 또 반대여\n 음 아파트가 짱인 거 같은데!?\n 키키 아파트 한번도 안 살아봐서 궁금\n 일단 집 앞에 쓰레기 버리기 편리한 건 좋음,\n 그니까! 우리집은 쓰레기 버리기가 힘들어\n 키키 주택은 그게 안 좋아 키키\n 근데 소음 문제는 없어\n 키키 ㅇㅈ ㅜㅜ 약간 개인 프라이버시 면에서도 주택이 더 자유로움\n 그래두 주 변에서 술먹고 돌아다니는 게 시끄러워 키키\n 아저씨들 특징이지 키키\n 이제 익숙해져서 괜찮아 키키\n 키키 아파트는 부가적으로 윗집 아랫집 도청 가능,.^^...\n 다음에 이사 갈 때는 아파트로 가보고싶어!\n 키키 나중에 가면 되지 키키 기회는 많아\n 마자마자 살다보면 주택이 더 좋단걸 느낄 고야,\n 다 다른 차이가 있는 거니까!하하"
29,일반 대화,연인이랑 꼭 맞아야 하는 코드가 있어 다들?\n 음 나는 입맛이 안맞으면 너무 힘들더라\n 맞아 의식주! 중에 먹는게 얼마나 중요한데\n 또 다른건? 생각나는거 있어?\n 그게 제일 힘들고 나머지는 뭐 맞출 수 있을 것 같아\n 나는 개그코드가 안맞으면 너무 힘들어\n 넌 개그코드 맞는 사람 찾기 힘들 것 같은데\n 진짜 보통 아니지\n 내가 좀 유머러스 하긴 해\n 그 얘기가 아니였는데\n 흠 아무튼 그게 중요하구나\n 개그코드 안맞으면 평생 사는데 재미가 사라질 것 같아\n 적당히 맞아야 하긴 해\n 나는 잘 웃어주는 사람이 좋더라\n 나도 은근 개그욕심 있어서 웃어주면 뿌듯해
